year,date,Open,High,Low,Close,Volume
1980,1980-07-01 08:58:56.578204416+00:00,0.0,120.05305487522878,117.43329751457293,118.77513771390797,44951225.44544827
1981,1981-07-01 09:00:42.617908416+00:00,0.0,129.3687546099039,126.76798736193172,128.0430347980413,46824146.30325814
1982,1982-07-01 07:50:19.438913472+00:00,85.56740990620843,120.66934854966296,118.75235534918586,119.71337607595653,64861758.34018511
1983,1983-07-01 09:31:22.073910080+00:00,160.3067138412944,161.1338465465229,159.53003235443282,160.4087252831364,85391821.00838394
1984,1984-07-01 08:15:20.972540096+00:00,160.46724556548648,161.25735578896078,159.66378856135444,160.4617800418961,91117719.81336741
1985,1985-07-01 09:18:24.832833088+00:00,186.67785691480628,187.5036082693169,186.02716505300626,186.85511455086075,109190890.17793165
1986,1986-07-01 09:47:15.587090240+00:00,236.18139727326738,237.47634622191356,234.83028892997189,236.34275115789868,141383036.3705707
1987,1987-07-01 08:57:22.617908416+00:00,286.81125715465345,289.16572150691565,284.2633674172087,286.83107030469733,188635920.64441407
1988,1988-07-01 07:19:53.314511488+00:00,265.6669318542179,267.2525461098534,264.00602105695515,265.78705935027966,161507307.7906393
1989,1989-07-01 10:25:11.688311680+00:00,322.5417489485068,324.12995998725654,321.0534422925545,322.8415764304658,165218883.3637123
1990,1990-07-01 11:43:20.265089664+00:00,334.68324532760954,336.57836087516165,332.2602130667529,334.5878062818597,156425476.73738036
1991,1991-07-01 08:08:49.200570624+00:00,375.83532244812096,378.02850933049945,373.88069338490305,376.1777893517041,179761367.4882199
1992,1992-07-01 07:31:24.176349952+00:00,415.66612482651084,417.257782635327,413.8459461867207,415.74445386695237,202041013.94584945
1993,1993-07-01 07:46:59.438913536+00:00,451.28164869462506,452.83167364935656,449.6321380033849,451.4047198810221,265069616.04150364
1994,1994-07-01 08:21:18.126541696+00:00,460.361474775996,462.0859007368331,458.30840740268036,460.32959357329963,291533495.29951364
1995,1995-07-01 11:16:24.457190400+00:00,541.0024685284136,543.0670618377293,539.1744747536821,541.6387378684452,346527622.80825585
1996,1996-07-01 06:11:37.628458496+00:00,670.3241616860156,673.6638356452501,666.9037863699493,670.8292502560919,411791540.29424685
1997,1997-07-01 09:43:51.041635712+00:00,871.8102367717001,878.2407683791029,865.8343859220353,872.713799496636,524914694.9314987
1998,1998-07-01 09:23:56.903622656+00:00,1083.2860586366721,1091.6823394518701,1074.8217224196999,1084.310309396464,671138533.692185
1999,1999-07-01 08:17:16.732146560+00:00,1325.1552722019271,1335.2727415290217,1314.8379169531815,1326.0626401047468,808837234.989648
2000,2000-07-01 06:17:54.682754432+00:00,1427.491945970159,1439.90127676466,1413.7059706935297,1426.7577040631468,1035664956.1898818
2001,2001-07-01 13:47:55.371036288+00:00,1192.9195522871923,1202.1235937906993,1181.1622329546901,1192.079830894551,1243467212.409317
2002,2002-07-01 07:44:08.681090048+00:00,996.6852867338538,1005.5419695979285,985.6851591765197,995.6420013919195,1426449691.366922
2003,2003-07-01 10:22:15.457220096+00:00,962.8508380206905,969.806112087364,956.5063578487539,963.7370250115077,1383352605.4637582
2004,2004-07-01 06:29:39.958393984+00:00,1130.188614106682,1135.713745412527,1124.9833772022473,1130.5935343372782,1425225100.002972
2005,2005-07-01 07:05:37.333650304+00:00,1206.8965393443038,1212.3857160666948,1201.8201229779959,1207.059632908407,1917009147.0272353
2006,2006-07-01 11:20:07.314333312+00:00,1309.9661314572627,1315.80771307788,1304.7027915638093,1310.6673948066225,2394202412.0384126
