year,month,date,Open,High,Low,Close,Volume
1937,11,1937-11-15 12:34:44.210526336+00:00,11.185263181987562,11.185263181987562,11.185263181987562,11.185263181987562,0.0
1937,12,1937-12-16 13:20:52.173913088+00:00,10.992173982703168,10.992173982703168,10.992173982703168,10.992173982703168,0.0
1938,1,1938-01-16 10:42:51.428571392+00:00,11.313333284287225,11.313333284287225,11.313333284287225,11.313333284287225,0.0
1938,2,1938-02-13 16:22:06.315789440+00:00,11.014736928437886,11.014736928437886,11.014736928437886,11.014736928437886,0.0
1938,3,1938-03-16 05:00:00+00:00,10.307391332543414,10.307391332543414,10.307391332543414,10.307391332543414,0.0
1938,4,1938-04-15 23:57:00+00:00,9.849999952316285,9.849999952316285,9.849999952316285,9.849999952316285,0.0
1938,5,1938-05-15 10:51:25.714285696+00:00,9.969523929414295,9.969523929414295,9.969523929414295,9.969523929414295,0.0
1938,6,1938-06-15 20:21:49.090909056+00:00,10.229090864008123,10.229090864008123,10.229090864008123,10.229090864008123,0.0
1938,7,1938-07-16 12:24:00+00:00,12.234499979019166,12.234499979019166,12.234499979019166,12.234499979019166,0.0
1938,8,1938-08-15 19:39:07.826086912+00:00,12.298695730126422,12.298695730126422,12.298695730126422,12.298695730126422,0.0
1938,9,1938-09-16 17:57:08.571428608+00:00,11.763809567406064,11.763809567406064,11.763809567406064,11.763809567406064,0.0
1938,10,1938-10-16 15:48:00+00:00,13.109499979019166,13.109499979019166,13.109499979019166,13.109499979019166,0.0
1938,11,1938-11-15 16:22:06.315789440+00:00,13.054736890290913,13.054736890290913,13.054736890290913,13.054736890290913,0.0
1938,12,1938-12-15 18:42:51.428571392+00:00,12.675714265732537,12.675714265732537,12.675714265732537,12.675714265732537,0.0
1939,1,1939-01-16 19:51:25.714285696+00:00,12.509523755028134,12.509523755028134,12.509523755028134,12.509523755028134,0.0
1939,2,1939-02-14 03:40:00+00:00,12.378888765970865,12.378888765970865,12.378888765970865,12.378888765970865,0.0
1939,3,1939-03-16 13:20:52.173913088+00:00,12.366521710934846,12.366521710934846,12.366521710934846,12.366521710934846,0.0
1939,4,1939-04-16 03:44:12.631579008+00:00,10.820526323820415,10.820526323820415,10.820526323820415,10.820526323820415,0.0
1939,5,1939-05-15 04:00:00+00:00,11.222727212038906,11.222727212038906,11.222727212038906,11.222727212038906,0.0
